,Município [-],PIB per capita - R$ [2021],População no último censo - pessoas [2022]
670,Santa Efigênia de Minas,11717.67,4039
671,Santa Fé de Minas,15749.38,3522
672,Santa Helena de Minas,9046.39,5938
673,Santa Juliana,59355.88,15734
674,Santa Luzia,23863.19,219132
675,Santa Margarida,21598.4,16395
676,Santa Maria de Itabira,24757.78,10485
677,Santa Maria do Salto,9608.97,4755
678,Santa Maria do Suaçuí,11695.78,12788
679,Santana da Vargem,34469.93,6691
680,Santana de Cataguases,12773.83,3489
681,Santana de Pirapama,15479.54,7030
682,Santana do Deserto,11889.16,3747
683,Santana do Garambéu,15700.64,2137
684,Santana do Jacaré,21867.84,4214
685,Santana do Manhuaçu,21922.2,8987
686,Santana do Paraíso,20818.42,44800
687,Santana do Riacho,23947.0,5313
688,Santana dos Montes,13286.87,3469
689,Santa Rita de Caldas,25612.88,8460
690,Santa Rita de Jacutinga,15448.41,4755
691,Santa Rita de Minas,20733.84,6773
692,Santa Rita de Ibitipoca,18272.52,3301
693,Santa Rita do Itueto,33004.29,5826
694,Santa Rita do Sapucaí,43969.93,40635
695,Santa Rosa da Serra,30331.26,3382
696,Santa Vitória,40140.53,20973
697,Santo Antônio do Amparo,18956.63,17285
698,Santo Antônio do Aventureiro,18856.11,3769
699,Santo Antônio do Grama,22189.15,4229
700,Santo Antônio do Itambé,11880.62,3915
701,Santo Antônio do Jacinto,9900.93,10327
702,Santo Antônio do Monte,29473.46,27295
703,Santo Antônio do Retiro,9670.55,6629
704,Santo Antônio do Rio Abaixo,16228.63,1808
705,Santo Hipólito,16491.4,2717
706,Santos Dumont,23793.1,42406
707,São Bento Abade,16505.34,4713
708,São Brás do Suaçuí,21354.17,3989
709,São Domingos das Dores,16117.24,5626
710,São Domingos do Prata,18125.06,17392
711,São Félix de Minas,13087.33,3200
712,São Francisco,11446.32,52762
713,São Francisco de Paula,23108.24,6187
714,São Francisco de Sales,30763.55,5732
715,São Francisco do Glória,15251.54,4800
716,São Geraldo,20738.3,10282
717,São Geraldo da Piedade,11611.66,3305
718,São Geraldo do Baixio,12169.53,3143
719,São Gonçalo do Abaeté,38182.29,7375
720,São Gonçalo do Pará,24361.9,11770
721,São Gonçalo do Rio Abaixo,684168.71,11850
722,São Gonçalo do Sapucaí,38470.78,23959
723,São Gotardo,32960.88,40910
724,São João Batista do Glória,35560.06,7652
725,São João da Lagoa,12208.13,4822
726,São João da Mata,20081.08,2914
727,São João da Ponte,10741.62,23930
728,São João das Missões,6983.08,13024
729,São João del Rei,33059.97,90225
730,São João do Manhuaçu,15536.64,11246
731,São João do Manteninha,13597.23,5331
732,São João do Oriente,13780.13,7070
733,São João do Pacuí,9974.47,3972
734,São João do Paraíso,11979.66,23910
735,São João Evangelista,16059.13,15315
736,São João Nepomuceno,19084.4,25565
737,São Joaquim de Bicas,33134.13,34348
738,São José da Barra,118358.54,7793
739,São José da Lapa,25528.59,26090
740,São José da Safira,11549.69,3806
741,São José da Varginha,22210.65,4536
742,São José do Alegre,13723.34,4133
743,São José do Divino,13774.55,3464
744,São José do Goiabal,12581.76,5396
745,São José do Jacuri,15589.16,6197
746,São José do Mantimento,15659.26,2753
747,São Lourenço,25310.43,44798
748,São Miguel do Anta,15122.87,6334
749,São Pedro da União,32471.15,4885
750,São Pedro dos Ferros,17606.8,7166
751,São Pedro do Suaçuí,15850.23,5103
752,São Romão,19123.79,10315
753,São Roque de Minas,45519.05,7129
754,São Sebastião da Bela Vista,79135.44,6387
755,São Sebastião da Vargem Alegre,21986.02,3113
756,São Sebastião do Anta,15565.34,6194
757,São Sebastião do Maranhão,10199.95,10079
758,São Sebastião do Oeste,85924.5,8815
759,São Sebastião do Paraíso,31099.51,71796
760,São Sebastião do Rio Preto,17571.23,1259
761,São Sebastião do Rio Verde,15800.11,2300
762,São Tiago,22414.96,11192
763,São Tomás de Aquino,27976.08,6740
764,São Tomé das Letras,19208.82,6904
765,São Vicente de Minas,26169.34,6804
766,Sapucaí-Mirim,15652.58,6311
767,Sardoá,10715.08,5104
768,Sarzedo,64346.33,36844
769,Setubinha,9820.38,9917
770,Sem-Peixe,14216.64,2433
771,Senador Amaral,16672.42,6206
772,Senador Cortes,19007.94,2240
773,Senador Firmino,13512.67,7716
774,Senador José Bento,24962.26,2068
